"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_3to1_K05_n020_chi2",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K05_n020_chi2",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n020_chi2",1,"meta_regression","misspecified",2.89718222222221,0.723710435546442,1.47873583331539,4.31562861112904,TRUE,""
"main_4to0_K05_n020_chi2",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n020_chi2",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n020_chi2",1,"meta_regression","correct",2.50337703798654,0.777784050926537,0.978948310420865,4.02780576555222,TRUE,""
"main_1to1_K10_n020_chi2",1,"target_only","misspecified",2.59014079713219,0.571467661973771,1.38953179080648,3.7907498034579,TRUE,""
"main_1to1_K10_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n020_chi2",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K10_n020_chi2",1,"target_only","correct",2.66445065693863,0.535725453046245,1.52876343009819,3.80013788377908,TRUE,""
"main_1to1_K10_n020_chi2",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n020_chi2",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n020_chi2",1,"target_only","misspecified",1.61442788159417,0.503227799674217,0.557185505996602,2.67167025719173,TRUE,""
"main_3to1_K10_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n020_chi2",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n020_chi2",1,"target_only","correct",2.07173552487727,1.66523276697057,-1.45840024226051,5.60187129201506,TRUE,""
"main_3to1_K10_n020_chi2",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n020_chi2",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K10_n020_chi2",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K10_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K10_n020_chi2",1,"meta_regression","misspecified",2.5630601151216,0.479954647518656,1.62236629177242,3.50375393847079,TRUE,""
"main_4to0_K10_n020_chi2",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K10_n020_chi2",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K10_n020_chi2",1,"meta_regression","correct",2.07712096767002,0.535839128207311,1.02689557487635,3.12734636046369,TRUE,""
"main_1to1_K30_n020_chi2",1,"target_only","misspecified",2.53994001911458,0.575272723178724,1.33133687583892,3.74854316239024,TRUE,""
"main_1to1_K30_n020_chi2",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K30_n020_chi2",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
